id_str,from_user,text,created_at,time,in_reply_to_user_id,user_followers_count,friends_count
1375099595928133635,2020Dinar,biar ga Malu tanggal muda pake Paylater ajaa road trip keliling kota dengan diskon Up to 310Rb IDR bisa pesan tiket… https://t.co/eSPUdINwot,2021-06-04 13:09:31,2021-06-04 13:09:31,,38,47
1370994050690510853,FarisaFia,"Jangan kebanyakan keliling indonesia guys, udah tanggal muda nih mending liburan keluar mumpung tiket pesawat lagi… https://t.co/QhHfYTiKSD",2021-06-04 13:09:28,2021-06-04 13:09:28,,2,3
1377098527994650627,pihuky,"Paylater Mantep banget bisa bayar nanti, liburannya sekarang,buruan mumpung diskon penerbangan di tanggal muda biar… https://t.co/yHtz0MwZ8L",2021-06-04 13:09:28,2021-06-04 13:09:28,,1,16
877178867013738497,Fighter792,"Yang mau pesan tiket pesawat pas liburan bisa lewat @tiket aja. Lagi ada diskonnya up to 310Rb loh, atau bayarnya b… https://t.co/Pi4OC5Jsr7",2021-06-04 13:09:27,2021-06-04 13:09:27,,5,30
1386102264838852608,HenaHasa,"Lagi penat banget nih karena rutinitas kerjaan sehari-hari, pas butuh liburan kayak gini karena pas ditanggal muda… https://t.co/ALq8yB0ovs",2021-06-04 13:09:26,2021-06-04 13:09:26,,55,66
1382873956873510913,bundasiskaa,Enak tuh liburan tapi banyak diskon buat staycation sewa mobil atau booking sewa mobil udah gitu ada sistem pembaya… https://t.co/YtxGHMvfSP,2021-06-04 13:09:24,2021-06-04 13:09:24,,27,36
1389840776054525954,Isabell67338913,"Beli tiket pesawat sama hotel, hotel sampai sewa hotel ya di https://t.co/u1zwQ0zWlZ aja, banyak diskonnya, yuk lib… https://t.co/lEEZ4HjZzR",2021-06-04 13:09:21,2021-06-04 13:09:21,,9,8
1386695381006700544,Fadillah2015,"Wah mantul banget nih ada diskon penerbangan di tanggal muda, buruan serbu guys biar gak malu sama tanggal muda lag… https://t.co/4iPnLfzA2P",2021-06-04 13:09:20,2021-06-04 13:09:20,,0,0
1385922013596815364,MonicF6,"Tanggal muda enaknya emang liburan ya kan? bayarnya ntar aja karena di @tiket bisa bayar pake Paylater loh, buruan… https://t.co/uHQKWk4rmJ",2021-06-04 13:09:17,2021-06-04 13:09:17,,0,0
4867592933,aogu8djva0,"Abis gajian gini enaknya liburan nih apalagi ada diskon up to 50% utk all product, klo gini sih ga jd malu sama tan… https://t.co/RwoJnbJvfG",2021-06-04 13:09:15,2021-06-04 13:09:15,,34,550
1379000390474080258,Sahrini92_,"Aduh jgn tunda-tunda lagi liburan nya dong! Emangnya ga , 50% diskon sewa hotel sih harus bgt di ambil… https://t.co/2ECeIcGvao",2021-06-04 13:09:10,2021-06-04 13:09:10,,17,24
1375322537152839681,Bacarat15,"jgn dianggurin guys klo ada diskonan sampe 50 persen apalagi ini di keliling indonesia ya kan, rugi bgt klo sampe n… https://t.co/bQcrMd7C6l",2021-06-04 13:09:09,2021-06-04 13:09:09,,0,0
1378271476005003269,Akhirpekan7,"Mau liburan sambil ngirit ya bisa banget, mesen apa aja bisa pakai Paylater, mesen sewa sekarang bayarnya nanti, ma… https://t.co/Kh8gL5GfyQ",2021-06-04 13:09:08,2021-06-04 13:09:08,,0,1
1361556786696781829,rayashashi,"Gokil bgt, pesawat di tgl muda ini lagi diskon gede bgt, diskon 50 % itu gokil bgt, liburan pesen pesawat emg palin… https://t.co/Ke4BJIPjQq",2021-06-04 13:09:08,2021-06-04 13:09:08,,85,86
1382801458182070273,ellieviana,Pesen tiket liburan ya di https://t.co/AFutecVtiI dong diskonnya sampai 310Rb mumpung tanggal muda ajak keluarga do… https://t.co/IRNqgFogmT,2021-06-04 13:09:07,2021-06-04 13:09:07,,1,0
